Órgão,Cod. Solicitação Aquisição,Razão Social,Num. CPF/CNPJ,Qtd. Itens Adquiridos,Valor Total (R$),Objeto da Licitação,Item Solicitação Aquisição (Valor Unitário Adjudicado),Item Solicitação Aquisição (Qtde Item) * Item Solicitação Aquisição (Valor Unitário Adjudicado) *  CASE  WHEN Item Solicitação Aquisição (Qtde Periodo Contrato) >,Data da Solicitação
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,6000,56400,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","9,4",56400,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,90,87129,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","32,27",87129,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,70,69909,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","33,29",69909,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,300,12414,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","41,38",12414,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,900,69498,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","77,22",69498,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,5700,454062,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","79,66",454062,2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,12,"1648,44","1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","137,37","1648,44",2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,6,"34707,6","1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","192,82","34707,6",2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,60,"12629,4","1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","210,49","12629,4",2020-04-13
ECONOMIA,75559,BRASIL TELECOM S/A,76535764000143,15,132957,"1º TERMO ADITIVO AO CONTRATO 048/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA.","295,46",132957,2020-04-13
ECONOMIA,75613,COMPANHIA DE TELECOMUNICAÇÕES DO BRASIL CENTRAL,71208516000174,30000,3000,"1º TERMO ADITIVO AO CONTRATO 052/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  SERVIÇO LOCAL PARA LINHAS DE RAMAL INTRAGRUPO OU CONVENCIONAIS FIXO E MÓVEL VC1 - NAS CIDADES DE BURITI ALEGRE, CACHOEIRA DOURADA, INACIOLÂNDIA, ITUMBIARA, PARANAIGUARA E SÃO SIMÃO - LOTE 10.","0,1",3000,2020-04-17
ECONOMIA,75613,COMPANHIA DE TELECOMUNICAÇÕES DO BRASIL CENTRAL,71208516000174,25000,6750,"1º TERMO ADITIVO AO CONTRATO 052/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  SERVIÇO LOCAL PARA LINHAS DE RAMAL INTRAGRUPO OU CONVENCIONAIS FIXO E MÓVEL VC1 - NAS CIDADES DE BURITI ALEGRE, CACHOEIRA DOURADA, INACIOLÂNDIA, ITUMBIARA, PARANAIGUARA E SÃO SIMÃO - LOTE 10.","0,27",6750,2020-04-17
ECONOMIA,75613,COMPANHIA DE TELECOMUNICAÇÕES DO BRASIL CENTRAL,71208516000174,900,8118,"1º TERMO ADITIVO AO CONTRATO 052/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  SERVIÇO LOCAL PARA LINHAS DE RAMAL INTRAGRUPO OU CONVENCIONAIS FIXO E MÓVEL VC1 - NAS CIDADES DE BURITI ALEGRE, CACHOEIRA DOURADA, INACIOLÂNDIA, ITUMBIARA, PARANAIGUARA E SÃO SIMÃO - LOTE 10.","9,02",8118,2020-04-17
ECONOMIA,75613,COMPANHIA DE TELECOMUNICAÇÕES DO BRASIL CENTRAL,71208516000174,30,1191,"1º TERMO ADITIVO AO CONTRATO 052/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  SERVIÇO LOCAL PARA LINHAS DE RAMAL INTRAGRUPO OU CONVENCIONAIS FIXO E MÓVEL VC1 - NAS CIDADES DE BURITI ALEGRE, CACHOEIRA DOURADA, INACIOLÂNDIA, ITUMBIARA, PARANAIGUARA E SÃO SIMÃO - LOTE 10.","39,7",1191,2020-04-17
ECONOMIA,75613,COMPANHIA DE TELECOMUNICAÇÕES DO BRASIL CENTRAL,71208516000174,450,27342,"1º TERMO ADITIVO AO CONTRATO 052/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, A SUPRESSÃO DE SERVIÇOS E A REDUÇÃO DE PREÇOS PARA ALGUNS ITENS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  SERVIÇO LOCAL PARA LINHAS DE RAMAL INTRAGRUPO OU CONVENCIONAIS FIXO E MÓVEL VC1 - NAS CIDADES DE BURITI ALEGRE, CACHOEIRA DOURADA, INACIOLÂNDIA, ITUMBIARA, PARANAIGUARA E SÃO SIMÃO - LOTE 10.","60,76",27342,2020-04-17
ECONOMIA,75636,NAO INFORMADO,0,2693,0,"CONTRATAÇÃO DE EMPRESA PARA  PRESTAÇÃO DE SERVIÇO DE INSPEÇÃO, MANUTENÇÃO, SUBSTITUIÇÃO DE PEÇAS A SEREM FORNECIDAS PELA CONTRATADA, TESTE HIDROSTÁTICO E RECARGA EM EXTINTORES DE INCÊNDIO DA SECRETARIA DE ESTADO DA ECONOMIA,",0,0,2020-04-23
ECONOMIA,75756,JC COMERCIO E EMPREENDIMENTOS LTDA,15104655000187,250,9975,"AQUISIÇÃO DE ÁLCOOL GEL 70% I.N.P.M  - ANTISSÉPTICO, PARA HIGIENIZAÇÃO DAS AS MÃOS, GALÃO DE  5 LITROS, COM REGISTRO NA ANVISA, VISA ATENDER A DEMANDA DA SECRETARIA DE ESTADO DA ECONOMIA, POR UM PERÍODO DE 12 MESES.","39,9",9975,2020-05-05
ECONOMIA,75756,NAO INFORMADO,0,250,0,"AQUISIÇÃO DE ÁLCOOL GEL 70% I.N.P.M  - ANTISSÉPTICO, PARA HIGIENIZAÇÃO DAS AS MÃOS, GALÃO DE  5 LITROS, COM REGISTRO NA ANVISA, VISA ATENDER A DEMANDA DA SECRETARIA DE ESTADO DA ECONOMIA, POR UM PERÍODO DE 12 MESES.",0,0,2020-05-05
ECONOMIA,75787,NAO INFORMADO,0,8000,0,"AQUISIÇÃO DE MÁSCARAS DE TECIDO PLANO,  PARA USO NAS UNIDADES ADMINISTRATIVAS DA SECRETARIA DE ESTADO DA ECONOMIA. ",0,0,2020-05-07
ECONOMIA,75787,NILZA APARECIDA AZEVEDO ME,12444829000162,8000,11600,"AQUISIÇÃO DE MÁSCARAS DE TECIDO PLANO,  PARA USO NAS UNIDADES ADMINISTRATIVAS DA SECRETARIA DE ESTADO DA ECONOMIA. ","1,45",11600,2020-05-07
ECONOMIA,75827,-,1616929000102,1,448000,CONTRATO COM A SANEAGO PARA FORNECIMENTO ÁGUA E COLETA/AFASTAMENTO E TRATAMENTO DE ESGOTO DA SECRETARIA DA ECONOMIA E SUAS UNIDADES FAZENDÁRIAS NO CORRENTE EXERCÍCIO.,448000,448000,2020-05-13
ECONOMIA,75857,NAO INFORMADO,0,422556,0,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE SERVIÇOS TÉCNICOS NA ÁREA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC) PARA SUPRIR AS DEMANDAS NAS ÁREAS DE DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇÃO, DE INFRAESTRUTURA E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, CONFORME REQUISITOS, ESPECIFICAÇÕES, QUANTITATIVOS E NÍVEIS DE SERVIÇO CONSTANTES DESTE INSTRUMENTO, DANDO CONTINUIDADE AO PROJETO DE MODERNIZAÇÃO, QUALIFICAÇÃO, RACIONALIZAÇÃO, INFORMATIZAÇÃO E INTEGRAÇÃO DO CONTINGENTE TECNOLÓGICO DA SECRETARIA DE ESTADO DA ECONOMIA DE GOIÁS, COM GARANTIA DE TRANSFERÊNCIA DE CONHECIMENTO E AGREGAÇÃO DE TECNOLOGIA.",0,0,2020-05-14
ECONOMIA,75860,CAST INFORMÁTICA S.A.,3143181000101,50000,2290000,"O OBJETO DESTA CONTRATAÇÃO É O REGISTRO DE PREÇO PARA PRESTAÇÃO DE SERVIÇOS DE ANÁLISE, DESENVOLVIMENTO, MANUTENÇÃO, DOCUMENTAÇÃO, SUPORTE E TESTE DE SOFTWARE, NA FORMA DE SERVIÇOS CONTINUADOS PRESENCIAIS E NÃO PRESENCIAIS, CONTEMPLANDO A TRANSFERÊNCIA DE CONHECIMENTO E AGREGAÇÃO TECNOLÓGICA, RESPEITANDO OS PADRÕES DE DESENVOLVIMENTO, DESEMPENHO E QUALIDADE ESTABELECIDOS PELO MPGO.  ","45,8",2290000,2020-05-15
ECONOMIA,75860,NAO INFORMADO,0,50000,0,"O OBJETO DESTA CONTRATAÇÃO É O REGISTRO DE PREÇO PARA PRESTAÇÃO DE SERVIÇOS DE ANÁLISE, DESENVOLVIMENTO, MANUTENÇÃO, DOCUMENTAÇÃO, SUPORTE E TESTE DE SOFTWARE, NA FORMA DE SERVIÇOS CONTINUADOS PRESENCIAIS E NÃO PRESENCIAIS, CONTEMPLANDO A TRANSFERÊNCIA DE CONHECIMENTO E AGREGAÇÃO TECNOLÓGICA, RESPEITANDO OS PADRÕES DE DESENVOLVIMENTO, DESEMPENHO E QUALIDADE ESTABELECIDOS PELO MPGO.  ",0,0,2020-05-15
ECONOMIA,76029,NAO INFORMADO,0,10,0,"AQUISIÇÃO DE 10 LICENÇAS DE SOLUÇÃO INTEGRADA DE VIDEOCONFERÊNCIA EM NUVEM (CLOUD), CONTEMPLANDO ATUALIZAÇÃO DE SOFTWARE E SUPORTE TÉCNICO PELO PERÍODO DE 12 (DOZE) MESES",0,0,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,90000,1800,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,02",1800,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,120000,4800,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,04",4800,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,195000,13650,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,07",13650,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,96000,24960,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,26",24960,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,36000,10800,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,3",10800,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,30000,11100,"1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","0,37",11100,2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,8,"1709,52","1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","213,69","1709,52",2020-06-01
ECONOMIA,76038,CLARO S/A,40432544000147,10,"34684,8","1º TERMO ADITIVO AO CONTRATO 047/2017 - PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, O REAJUSTE DOS PREÇOS E A SUPRESSÃO DE SERVIÇOS DO CONTRATO DE PRESTAÇÃO DOS SEGUINTES SERVIÇOS TELEFÔNICOS PARA A SECRETARIA DE ESTADO DA ECONOMIA:  LOTE 03 - SERVIÇO 0800 PARA LIGAÇÕES RECEBIDAS DO STFC (LOCAL E DDD) E SERVIÇO MÓVEL PESSOAL – SMP E LOTE 07 - SERVIÇO DDR LOCAL FIXO E MÓVEL VC1 - NA CIDADE DE ITUMBIARA.","289,04","34684,8",2020-06-01
ECONOMIA,76084,NAO INFORMADO,0,10,0,"AQUISIÇÃO DE LICENÇAS DE SOLUÇÃO INTEGRADA DE VIDEOCONFERÊNCIA EM NUVEM (CLOUD), CONTEMPLANDO ATUALIZAÇÃO DE SOFTWARE E SUPORTE TÉCNICO PELO PERÍODO DE 12 (DOZE) MESES",0,0,2020-06-04
ECONOMIA,76084,XPON CONSULTORIA LTDA - EPP,23518065000129,10,"14269,5","AQUISIÇÃO DE LICENÇAS DE SOLUÇÃO INTEGRADA DE VIDEOCONFERÊNCIA EM NUVEM (CLOUD), CONTEMPLANDO ATUALIZAÇÃO DE SOFTWARE E SUPORTE TÉCNICO PELO PERÍODO DE 12 (DOZE) MESES","1426,95","14269,5",2020-06-04
ECONOMIA,76137,-,684025116,1,90000,"CONSTITUI OBJETO DESTE TERMO ADITIVO A REDUÇÃO TEMPORÁRIA DO VALOR MENSAL ATUAL DO ALUGUEL, A RENOVAÇÃO DO PRAZO DE VIGÊNCIA, COM REDUÇÃO DO PREÇO, DO CONTRATO Nº 018/2014, DE LOCAÇÃO DE IMÓVEL SITUADO À RUA ANTÔNIO REZENDE Nº 326, QUADRA 09, LOTE 1B, ESQUINA COM A RUA LUIZ PERILO, SETOR VILA SÃO JOSÉ, PALMEIRAS DE GOIÁS – GO, ONDE ESTÁ INSTALADA A AGÊNCIA FAZENDÁRIA DAQUELE MUNICÍPIO. CONFORME NEGOCIADO ENTRE AS PARTES, O VALOR MENSAL DO ALUGUEL, DEFINIDO NO PRIMEIRO TERMO ADITIVO, FICA TEMPORARIAMENTE REDUZIDO, PASSANDO DE R$ 1.717,11 (UM MIL SETECENTOS E DEZESSETE REAIS E ONZE CENTAVOS) PARA R$ 858,55 (OITOCENTOS E CINQUENTA E OITO REAIS E CINQUENTA E CINCO CENTAVOS), POR 90 (NOVENTA) DIAS. CESSADO O PERÍODO DE 90 DIAS, A PARTIR 30 DE JULHO DE 2020, RETOMA-SE O VALOR CONTRATUAL MENSAL NEGOCIADO PARA A RENOVAÇÃO, DE R$ 1.500,00 (UM MIL E QUINHENTOS REAIS) .",1500,90000,2020-06-09
ECONOMIA,76400,ACHEI AUTOMÓVEIS LTDA - ME,7194751000135,1,"31568,4","PRORROGAÇÃO DO PRAZO DE VIGÊNCIA E A REDUÇÃO DOS PREÇOS DO CONTRATO Nº 015/2017, DE PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE VEÍCULO AUTOMOTOR SEDAN/REPRESENTAÇÃO – TOYOTA/COROLLA 1.8 GLI, AUTOMÁTICO, COM FORNECIMENTO DE EQUIPAMENTO ESPECÍFICO PARA MONITORAMENTO DE VEÍCULO EM TEMPO REAL (RASTREADOR), MANUTENÇÃO, LIMPEZA, SEGURO E QUILOMETRAGEM LIVRE, MANTIDA A REDUÇÃO PARA 01 (UM) VEÍCULO LOCADO.","2630,7","31568,4",2020-07-01
ECONOMIA,76440,EMPRESA BRASILEIRA DE TECNOLOGIA E ADMINISTRAÇÃO DE CONVÊNIOS HOM LTDA,3506307000157,0,0,"3º TERMO ADITIVO - READEQUAÇÃO DOS QUANTITATIVOS DE COMBUSTÍVEIS DO CONTRATO Nº 028/2018, DE SERVIÇO DE GERENCIAMENTO ELETRÔNICO E CONTROLE DE ABASTECIMENTO DE COMBUSTÍVEIS, COM A REDUÇÃO DOS VALORES ATUALMENTE  CONTRATADOS.","-4,13",0,2020-07-03
ECONOMIA,76473,NAO INFORMADO,0,1,0,"CONTRATAÇÃO POR 12 (DOZE) MESES, DE ASSINATURA ANUAL (USUÁRIO) PARA ACESSO AOS SERVIÇOS DO SISTEMA BANCO DE PREÇO.&#8203;",0,0,2020-07-07
ECONOMIA,76473,NP EVENTOS E SERVIÇOS LTDA,7797967000195,1,"8190,14","CONTRATAÇÃO POR 12 (DOZE) MESES, DE ASSINATURA ANUAL (USUÁRIO) PARA ACESSO AOS SERVIÇOS DO SISTEMA BANCO DE PREÇO.&#8203;","8190,14","8190,14",2020-07-07
ECONOMIA,76648,NAO INFORMADO,0,6,0,AQUISIÇÃO DE LUMINÁRIAS DE MESA E LÂMPADAS DE LUZ AMARELA PARA O GABINETE DA SECRETARIA DE ESTADO DA ECONOMIA.,0,0,2020-07-27
ECONOMIA,76648,PAPELARIA SHALON EIRELI,13036711000168,3,"23,46",AQUISIÇÃO DE LUMINÁRIAS DE MESA E LÂMPADAS DE LUZ AMARELA PARA O GABINETE DA SECRETARIA DE ESTADO DA ECONOMIA.,"7,82","23,46",2020-07-27
ECONOMIA,76648,PAPELARIA SHALON EIRELI,13036711000168,3,"187,47",AQUISIÇÃO DE LUMINÁRIAS DE MESA E LÂMPADAS DE LUZ AMARELA PARA O GABINETE DA SECRETARIA DE ESTADO DA ECONOMIA.,"62,49","187,47",2020-07-27
ECONOMIA,76649,NAO INFORMADO,0,6,0,AQUISIÇÃO DE LUMINÁRIAS DE MESA E LÂMPADAS DE LUZ AMARELA PARA O GABINETE DA SECRETARIA DE ESTADO DA ECONOMIA.,0,0,2020-07-27
ECONOMIA,76724,-,6088000000252,8,"461931,84","O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 029/2016, DE PRESTAÇÃO DE SERVIÇOS DE MONITORAMENTO (VIGILÂNCIA ELETRÔNICA), PARA ATENDER AS NECESSIDADES DA CONTRATANTE, MANTIDO OS PREÇOS CONTRATADOS.","4811,79","461931,84",2020-07-31
ECONOMIA,76832,FUNDAÇÃO INSTITUTO DE PESQUISAS ECONÔMICAS FIPE,43942358000146,1,"41834,28","PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 014/2019, DE PRESTAÇÃO DE SERVIÇOS DESTINADOS À ELABORAÇÃO DE TABELA DE VALORES VENAIS DE VEÍCULOS AUTOMOTORES, PARA A COBRANÇA DO IMPOSTO SOBRE PROPRIEDADE DE VEÍCULOS AUTOMOTORES – IPVA/2020,","41834,28","41834,28",2020-08-12
ECONOMIA,76962,NAO INFORMADO,0,1930,0,"AQUISIÇÃO DE EPI’S (EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL) E EPC’S (EQUIPAMENTOS DE PROTEÇÃO COLETIVA), NO INTUITO DA PROTEÇÃO E PREVENÇÃO DA PANDEMIA DO NOVO CORONAVÍRUS, CHAMADO DE SARS-COV-2",0,0,2020-08-21
ECONOMIA,77001,DPS GONÇALVES INDUSTRIA E COMERCIO DE ALIMENTOS LTDA EPP,64106552000161,677,"7981,83","ADESÃO À ATA DE REGISTRO DE PREÇO Nº 002/2020, PREGÃO ELETRÔNICO SRP Nº 002/2019 DO PROCESSO N° 201800005019940 – SEAD/GEAC, PARA  FORNECIMENTO DE CAFÉ, AÇÚCAR E COPOS DESCARTÁVEIS PARA ÁGUA MINERAL E CAFÉ, POR UM PERÍODO DE 12(DOZE) MESES,","11,79","7981,83",2020-08-24
ECONOMIA,77001,NAO INFORMADO,0,677,0,"ADESÃO À ATA DE REGISTRO DE PREÇO Nº 002/2020, PREGÃO ELETRÔNICO SRP Nº 002/2019 DO PROCESSO N° 201800005019940 – SEAD/GEAC, PARA  FORNECIMENTO DE CAFÉ, AÇÚCAR E COPOS DESCARTÁVEIS PARA ÁGUA MINERAL E CAFÉ, POR UM PERÍODO DE 12(DOZE) MESES,",0,0,2020-08-24
ECONOMIA,77002,GESY SARAIVA DE GOIÁS,34533426000122,1966,"1848,04","ADESÃO À ATA DE REGISTRO DE PREÇO Nº 002/2020, PREGÃO ELETRÔNICO SRP Nº 002/2019 DO PROCESSO N° 201800005019940 – SEAD/GEAC, PARA FORNECIMENTO DE CAFÉ, AÇÚCAR E COPOS DESCARTÁVEIS PARA ÁGUA MINERAL E CAFÉ, POR UM PERÍODO DE 12(DOZE) MESES,","0,94","1848,04",2020-08-24
